2020-01-25 16:59:14.306 [INFO ] ssdb-server.cpp(46): ssdb-server 1.9.4
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(47): conf_file        : ssdb.conf
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(48): log_level        : debug
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(49): log_output       : log.txt
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(50): log_rotate_size  : 1000000000
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(52): main_db          : ./var/data
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(53): meta_db          : ./var/meta
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(54): cache_size       : 500 MB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(55): block_size       : 32 KB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(56): write_buffer     : 64 MB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(57): max_open_files   : 500
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(58): compaction_speed : 1000 MB/s
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(59): compression      : no
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(60): binlog           : no
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(61): binlog_capacity  : 20000000
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(62): sync_speed       : 0 MB/s
2020-01-25 16:59:14.586 [INFO ] server.cpp(171): server listen on 127.0.0.1:8888
2020-01-25 16:59:14.586 [INFO ] server.cpp(181): auth: off
2020-01-25 16:59:14.586 [DEBUG] cluster.cpp(13): Cluster init
2020-01-25 16:59:14.586 [DEBUG] ttl.cpp(113): load 0 keys into fast_keys
2020-01-25 16:59:14.586 [INFO ] serv.cpp(331): key_range.kv: "", ""
2020-01-25 16:59:14.586 [INFO ] ssdb-server.cpp(85): pidfile: ./var/ssdb.pid, pid: 10440
2020-01-25 16:59:14.586 [INFO ] ssdb-server.cpp(86): ssdb server started.
2020-01-25 16:59:14.586 [DEBUG] worker.cpp(17): writer 0 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 0 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 1 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 2 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 3 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 4 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 5 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 6 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 7 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 8 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 9 init
2020-01-25 17:00:42.378 [DEBUG] server.cpp(241): new link from 127.0.0.1:1049, fd: 17, links: 1
2020-01-25 17:00:44.827 [DEBUG] server.cpp(336): w:0.046,p:0.047, req: hset raw_proxy 223.199.24.49:9999 [153], resp: ok 1
2020-01-25 17:00:44.829 [DEBUG] server.cpp(336): w:0.005,p:0.034, req: hset raw_proxy 60.167.22.166:32462 [154], resp: ok 1
2020-01-25 17:00:44.833 [DEBUG] server.cpp(336): w:0.041,p:0.033, req: hset raw_proxy 60.167.23.215:9999 [153], resp: ok 1
2020-01-25 17:00:44.837 [DEBUG] server.cpp(336): w:0.006,p:0.030, req: hset raw_proxy 113.128.25.84:9999 [153], resp: ok 1
2020-01-25 17:00:44.841 [DEBUG] server.cpp(336): w:0.007,p:0.032, req: hset raw_proxy 183.164.238.11:36285 [155], resp: ok 1
2020-01-25 17:00:44.843 [DEBUG] server.cpp(336): w:0.006,p:0.029, req: hset raw_proxy 58.212.41.152:9999 [153], resp: ok 1
2020-01-25 17:00:44.847 [DEBUG] server.cpp(336): w:0.005,p:0.025, req: hset raw_proxy 114.231.41.173:9999 [154], resp: ok 1
2020-01-25 17:00:44.849 [DEBUG] server.cpp(336): w:0.010,p:0.038, req: hset raw_proxy 223.199.23.225:9999 [154], resp: ok 1
2020-01-25 17:00:44.853 [DEBUG] server.cpp(336): w:0.033,p:0.030, req: hset raw_proxy 115.216.77.144:9999 [154], resp: ok 1
2020-01-25 17:00:44.857 [DEBUG] server.cpp(336): w:0.051,p:0.047, req: hset raw_proxy 111.72.25.55:9999 [152], resp: ok 1
2020-01-25 17:00:44.861 [DEBUG] server.cpp(336): w:0.011,p:0.051, req: hset raw_proxy 140.255.143.102:9999 [155], resp: ok 1
2020-01-25 17:00:44.865 [DEBUG] server.cpp(336): w:0.013,p:0.069, req: hset raw_proxy 123.149.136.128:9999 [155], resp: ok 1
2020-01-25 17:00:44.869 [DEBUG] server.cpp(336): w:0.007,p:0.038, req: hset raw_proxy 112.85.124.233:9999 [154], resp: ok 1
2020-01-25 17:00:44.873 [DEBUG] server.cpp(336): w:0.046,p:0.039, req: hset raw_proxy 223.241.118.244:8010 [155], resp: ok 1
2020-01-25 17:00:44.879 [DEBUG] server.cpp(336): w:0.055,p:0.105, req: hset raw_proxy 58.212.206.123:9999 [154], resp: ok 1
2020-01-25 17:00:44.885 [DEBUG] server.cpp(336): w:0.006,p:0.030, req: hset raw_proxy 115.216.43.210:9999 [154], resp: ok 1
2020-01-25 17:00:44.889 [DEBUG] server.cpp(336): w:0.035,p:0.036, req: hset raw_proxy 123.160.1.237:9999 [153], resp: ok 1
2020-01-25 17:00:44.893 [DEBUG] server.cpp(336): w:0.013,p:0.047, req: hset raw_proxy 114.239.172.34:9999 [154], resp: ok 1
2020-01-25 17:00:44.897 [DEBUG] server.cpp(336): w:0.045,p:0.057, req: hset raw_proxy 58.212.67.24:9999 [152], resp: ok 1
2020-01-25 17:00:44.901 [DEBUG] server.cpp(336): w:0.034,p:0.033, req: hset raw_proxy 60.167.20.192:9999 [153], resp: ok 1
2020-01-25 17:00:44.905 [DEBUG] server.cpp(336): w:0.044,p:0.048, req: hset raw_proxy 58.212.41.15:9999 [152], resp: ok 1
2020-01-25 17:00:44.909 [DEBUG] server.cpp(336): w:0.006,p:0.035, req: hset raw_proxy 115.239.25.241:9999 [154], resp: ok 1
2020-01-25 17:00:44.913 [DEBUG] server.cpp(336): w:0.041,p:0.062, req: hset raw_proxy 115.210.46.108:9999 [154], resp: ok 1
2020-01-25 17:00:44.917 [DEBUG] server.cpp(336): w:0.011,p:0.051, req: hset raw_proxy 123.163.27.89:9999 [153], resp: ok 1
